sn,post_id,name,nepali_name,required_number,is_national_wide,state_name
1,2021_01,President,-,1,1,
2,2021_02,Vice President,-,4,1,
3,2021_03,Woman Vice President,-,1,1,
4,2021_04,Youth Vice President,-,1,1,
5,2021_05,General Secretary,-,1,1,
6,2021_06,Secretary,-,3,1,
7,2021_07,Woman Secretary,-,1,1,
8,2021_08,Treasurer,-,1,1,
9,2021_09,Joint Treasurer,-,1,1,
10,2021_10,Women Joint Treasurer,-,1,1,
11,2021_11,Woman Coordinator,-,1,1,
12,2021_12,Youth Coordinator,-,1,1,
13,2021_13,Regional Coordinator Europe,-,1,0,Europe
14,2021_14,Regional Coordinator Americas,-,1,0,Americas
15,2021_15,Regional Coordinator Oceania,-,1,0,Oceania
16,2021_16,Regional Coordinator Asia Pacific,-,1,0,Asia Pacific
17,2021_17,Regional Coordinator Middle East,-,1,0,Middle East
18,2021_18,Regional Coordinator Africa,-,1,0,Afria
19,2021_19,Regional Women Coordinator Europe,-,1,0,Europe
20,2021_20,Regional Women Coordinator Americas,-,1,0,Americas
21,2021_21,Regional Women Coordinator Oceania,-,1,0,Oceania
22,2021_22,Regional Women Coordinator Asia Pacific,-,1,0,Asia Pacific
23,2021_23,Regional Women Coordinator Middle East,-,1,0,Middle East
24,2021_24,Regional Women Coordinator Africa,-,1,0,Afria
25,2021_25,Regional Youth Coordinator Europe,-,1,0,Europe
26,2021_26,Regional Youth Coordinator Americas,-,1,0,Americas
27,2021_27,Regional Youth Coordinator Oceania,-,1,0,Oceania
28,2021_28,Regional Youth Coordinator Asia Pacific,-,1,0,Asia Pacific
29,2021_29,Regional Youth Coordinator Middle East,-,1,0,Middle East
30,2021_30,Regional Youth Coordinator Africa,-,1,0,Afria
31,2021_31,Regional Deputy Coordinator Europe,-,3,0,Europe
32,2021_32,Regional Deputy  Coordinator Americas,-,1,0,Americas
33,2021_33,Regional Deputy Coordinator Oceania,-,2,0,Oceania
34,2021_34,Regional Deputy Coordinator Asia Pacific,-,1,0,Asia Pacific
35,2021_35,Regional Deputy Coordinator Middle East,-,1,0,Middle East
36,2021_36,Regional Deputy Coordinator Africa,-,1,0,Afria
37,2021_37,Regional Women Deputy Coordinator Europe,-,1,0,Europe
38,2021_38,Regional Women Deputy Coordinator Americas,-,1,0,Americas
39,2021_39,Regional Women Deputy Coordinator Oceania,-,1,0,Oceania
40,2021_40,Regional Women Deputy Coordinator Asia Pacific,-,1,0,Asia Pacific
41,2021_41,Regional Women Deputy Coordinator Middle East,-,1,0,Middle East
42,2021_42,Regional Women Deputy Coordinator Africa,-,1,0,Afria
43,2021_43,Regional Youth Deputy Coordinator Europe,-,1,0,Europe
44,2021_44,Regional Youth Deputy Coordinator Americas,-,1,0,Americas
45,2021_45,Regional Youth Deputy Coordinator Oceania,-,1,0,Oceania
46,2021_46,Regional Youth Deputy Coordinator Asia Pacific,-,1,0,Asia Pacific
47,2021_47,Regional Youth Deputy Coordinator Middle East,-,1,0,Middle East
48,2021_48,Regional Youth Deputy Coordinator Africa,-,1,0,Afria
49,2021_49,Patron Council member,-,7,1,
